category,text,description,expectedQuantity,requiresNoteOnFail
Cab,Command Radio,,1,true
Cab,Clipboard With Run Reports,,1,true
Cab,Accountability Ring,,1,true
Cab,Door Opener,,1,true
Cab,ERG,,1,true
Cab,800 Portable Radio,,1,true
Cab,UHF Mobile Radio,,1,true
Cab,Mapbook,,1,true
Cab,Cab Lift Tool,,1,true
Cab,Vulcan Flashlights,,2,true
Cab,Bullard TIC,,1,true
Cab,Extra TIC Battery,,1,true
Cab,UHF Portable Radios,,4,true
Cab,SCBA,,5,true
Cab,SCBA Masks,,5,true
Cab,Headlights Low/High,Functional check — operate low and high beams,,true
Cab,Emergency Lights and Siren,Functional check,,true
Cab,Parking/Turn/Brake Lights,Functional check,,true
Cab,Set of Binoculars,,1,true
Cab,Medical Glove Boxes,,2,true
Cab,FLIR TIC,,1,true
Cab,Medical Bag,,1,true
Cab,Kendrick Extrication Device,,1,true
Cab,Fuelman Card,,1,true
Cab,AED,,1,true
D.S. Pump Panel,1.75 Combination Nozzle,,1,true
D.S. Pump Panel,2.5 x 1.75 Reducer,,1,true
D.S. Pump Panel,1.75 Preconnect,,2,true
D.S. Pump Panel,2.5 Preconnect,,1,true
D.S. Pump Panel,1.75 Combination Nozzle (spare),,2,true
D.S. Pump Panel,2.5 Combination Nozzle,,1,true
D.S. Pump Panel,100ft of 1.75 Doughnut Roll,,1,true
D.S. Compartment 1,1.75 Combination Nozzle,,2,true
D.S. Compartment 1,2.5 Combination Nozzle,,1,true
D.S. Compartment 1,Rubber Mallets,,2,true
D.S. Compartment 1,Hydrant Wrench,,1,true
D.S. Compartment 1,LDH Spanner Wrenches,,3,true
D.S. Compartment 1,Hose Straps,,3,true
D.S. Compartment 1,Leather Hose Jacket,,1,true
D.S. Compartment 1,LDH Hose Roller,,1,true
D.S. Compartment 1,Hose Clamp,,1,true
D.S. Compartment 1,Jet Siphon,,1,true
D.S. Compartment 1,Cheater Bar,,1,true
D.S. Compartment 1,Water Main Tool,,1,true
D.S. Compartment 1,Athens City Hydrant Wrench,,1,true
D.S. Compartment 1,Spike,,1,true
D.S. Compartment 1,Small Foam Jet,,1,true
D.S. Compartment 1,Set of Stack Tips,,1,true
D.S. Compartment 1,Foam Inductor,,1,true
